company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,sched_dep_hour,total_pax,lap_child_count,basic_economy_pax,child_count,stroller_users,pnr_count,ssr_total,ssr_wheelchair,ssr_umnr,ssr_medical,ssr_blind,ssr_deaf,ssr_pet,total_bags,transfer_bags,slack_minutes,neg_slack_minutes,pax_load_factor,transfer_bag_ratio,special_needs_numer,special_needs_ratio,wheelchair_ratio,umnr_ratio,medical_ratio,blind_ratio,deaf_ratio,pet_ratio,departure_delay_minutes,arrival_delay_minutes,day
OO,4792,2025-08-04,ORD,ROA,2025-08-04 17:57:00+00:00,2025-08-04 21:04:00+00:00,2025-08-04 18:04:00+00:00,2025-08-04 20:52:00+00:00,76,ERJ-175,Express,42,34,34,17,65,0,0,1,0,54,3,0,0,0,0,0,0,42.0,36.0,8,-8,0.8552631578947368,0.8571428571428571,4,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-12.0,2025-08-04
UA,920,2025-08-03,ORD,LHR,2025-08-03 18:05:00+00:00,2025-08-04 08:20:00+00:00,2025-08-03 18:27:00+00:00,2025-08-04 08:06:00+00:00,167,B767-300,Mainline,235,229,145,18,171,1,0,5,0,94,3,0,0,0,0,0,0,143.0,53.0,90,-90,1.0,0.3706293706293706,9,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,22.0,-14.0,2025-08-03
UA,1776,2025-08-10,ORD,PHL,2025-08-10 18:20:00+00:00,2025-08-10 21:35:00+00:00,2025-08-10 20:11:00+00:00,2025-08-10 23:26:00+00:00,166,B737-800,Mainline,76,69,51,18,180,0,0,5,2,129,0,0,0,0,0,0,0,85.0,39.0,25,-25,1.0,0.4588235294117647,7,0.03888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,111.0,111.0,2025-08-10
OO,5790,2025-08-06,ORD,CRW,2025-08-06 18:20:00+00:00,2025-08-06 21:04:00+00:00,2025-08-06 20:05:00+00:00,2025-08-06 22:42:00+00:00,50,CRJ-200,Express,223,38,29,18,55,0,0,2,0,36,2,0,0,0,0,0,0,54.0,40.0,194,-194,1.0,0.7407407407407407,4,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,105.0,98.0,2025-08-06
UA,1398,2025-08-05,ORD,ATL,2025-08-05 18:20:00+00:00,2025-08-05 21:29:00+00:00,2025-08-05 18:16:00+00:00,2025-08-05 21:49:00+00:00,166,B737-800,Mainline,75,72,51,18,136,0,0,3,0,109,2,0,0,0,0,0,0,70.0,51.0,24,-24,0.8192771084337349,0.7285714285714285,5,0.03676470588235294,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,20.0,2025-08-05
OO,5470,2025-08-07,ORD,GEG,2025-08-07 08:40:00+00:00,2025-08-07 10:56:00+00:00,2025-08-07 08:36:00+00:00,2025-08-07 10:43:00+00:00,76,ERJ-175,Express,49,44,34,8,73,1,0,1,0,37,0,0,0,0,0,0,0,40.0,26.0,15,-15,0.9605263157894737,0.65,2,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-13.0,2025-08-07
UA,374,2025-08-15,ORD,MSP,2025-08-15 16:10:00+00:00,2025-08-15 17:49:00+00:00,2025-08-15 16:38:00+00:00,2025-08-15 18:24:00+00:00,126,A319-100,Mainline,54,41,43,16,128,1,0,1,0,103,3,0,0,0,0,0,0,83.0,62.0,11,-11,1.0,0.7469879518072289,5,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,28.0,35.0,2025-08-15
UA,1577,2025-08-15,ORD,SFO,2025-08-15 14:40:00+00:00,2025-08-15 17:26:00+00:00,2025-08-15 14:39:00+00:00,2025-08-15 17:11:00+00:00,234,B757-300,Mainline,123,134,66,14,261,1,0,10,3,160,2,0,0,0,0,0,0,149.0,66.0,57,-57,1.0,0.4429530201342282,16,0.06130268199233716,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-15.0,2025-08-15
UA,881,2025-08-03,ORD,HND,2025-08-03 12:50:00+00:00,2025-08-04 15:55:00+00:00,2025-08-03 13:15:00+00:00,2025-08-04 16:01:00+00:00,318,B787-10,Mainline,365,407,155,12,370,0,0,16,1,203,8,0,0,0,0,0,0,348.0,246.0,210,-210,1.0,0.7068965517241379,25,0.06756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,2025-08-03
UA,2006,2025-08-09,ORD,GUA,2025-08-09 09:14:00+00:00,2025-08-09 12:45:00+00:00,2025-08-09 09:24:00+00:00,2025-08-09 12:57:00+00:00,166,B737-MAX8,Mainline,90,126,65,9,188,2,0,9,2,105,27,0,0,0,0,0,0,190.0,59.0,25,-25,1.0,0.3105263157894737,40,0.2127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,2025-08-09
