company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,sched_dep_hour,total_pax,lap_child_count,basic_economy_pax,child_count,stroller_users,pnr_count,ssr_total,ssr_wheelchair,ssr_umnr,ssr_medical,ssr_blind,ssr_deaf,ssr_pet,total_bags,transfer_bags,slack_minutes,neg_slack_minutes,pax_load_factor,transfer_bag_ratio,special_needs_numer,special_needs_ratio,wheelchair_ratio,umnr_ratio,medical_ratio,blind_ratio,deaf_ratio,pet_ratio,departure_delay_minutes,arrival_delay_minutes,day,neg_slack_minutes_pr,pax_load_factor_pr,transfer_bag_ratio_pr,special_needs_ratio_pr,basic_econ_ratio_pr,difficulty_score,daily_rank,difficulty_class
OO,4748,2025-08-01,ORD,ATW,2025-08-01 20:20:00+00:00,2025-08-01 21:35:00+00:00,2025-08-01 21:00:00+00:00,2025-08-01 22:02:00+00:00,50,CRJ-550,Express,3,39,29,20,52,1,0,2,0,29,2,0,0,0,0,0,0,59.0,49.0,-26,26,1.0,0.8305084745762712,5,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,40.0,27.0,2025-08-01,0.9625668449197861,0.6051693404634582,0.8163992869875223,0.8502673796791443,0.0,0.7487522281639929,1.0,Difficult
OO,5376,2025-08-01,ORD,LEX,2025-08-01 14:30:00+00:00,2025-08-01 17:01:00+00:00,2025-08-01 17:39:00+00:00,2025-08-01 19:47:00+00:00,70,ERJ-175,Express,-159,40,34,14,74,0,0,3,0,47,3,0,0,0,0,0,0,72.0,61.0,-193,193,1.0,0.8472222222222222,6,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,189.0,166.0,2025-08-01,0.9982174688057041,0.6051693404634582,0.8360071301247772,0.6987522281639929,0.0,0.7424242424242425,2.0,Difficult
UA,1811,2025-08-01,ORD,MSP,2025-08-01 12:45:00+00:00,2025-08-01 14:28:00+00:00,2025-08-01 13:39:00+00:00,2025-08-01 15:01:00+00:00,166,B737-800,Mainline,14,64,51,12,201,0,0,14,2,119,14,0,0,0,0,0,0,175.0,126.0,-37,37,1.0,0.72,30,0.14925373134328357,0.0,0.0,0.0,0.0,0.0,0.0,54.0,33.0,2025-08-01,0.9696969696969697,0.6051693404634582,0.6488413547237076,0.9928698752228164,0.0,0.7391265597147949,3.0,Difficult
UA,1495,2025-08-01,ORD,TVC,2025-08-01 21:13:00+00:00,2025-08-01 23:36:00+00:00,2025-08-01 22:11:00+00:00,2025-08-02 00:17:00+00:00,166,B737-800,Mainline,63,53,51,21,217,3,0,13,3,116,2,0,0,0,0,0,0,99.0,95.0,12,-12,1.0,0.9595959595959596,21,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,58.0,41.0,2025-08-01,0.8163992869875223,0.6051693404634582,0.9696969696969697,0.8591800356506238,0.0,0.729590017825312,4.0,Difficult
OO,6004,2025-08-01,ORD,SUN,2025-08-01 19:35:00+00:00,2025-08-01 22:36:00+00:00,2025-08-01 20:36:00+00:00,2025-08-01 23:07:00+00:00,70,ERJ-175,Express,40,32,34,19,91,3,0,5,2,47,0,0,0,0,0,0,0,68.0,52.0,6,-6,1.0,0.7647058823529411,10,0.10989010989010989,0.0,0.0,0.0,0.0,0.0,0.0,61.0,31.0,2025-08-01,0.9153297682709447,0.6051693404634582,0.7103386809269162,0.928698752228164,0.0,0.72277183600713,5.0,Difficult
OO,5135,2025-08-01,ORD,MCW,2025-08-01 16:50:00+00:00,2025-08-01 18:20:00+00:00,2025-08-01 18:08:00+00:00,2025-08-01 19:25:00+00:00,50,CRJ-200,Express,-16,30,29,16,58,0,0,5,2,27,0,0,0,0,0,0,0,34.0,20.0,-45,45,1.0,0.5882352941176471,7,0.1206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,78.0,65.0,2025-08-01,0.9750445632798574,0.6051693404634582,0.45454545454545453,0.9590017825311943,0.0,0.6970588235294117,6.0,Difficult
OO,5790,2025-08-01,ORD,CRW,2025-08-01 18:20:00+00:00,2025-08-01 21:04:00+00:00,2025-08-01 19:14:00+00:00,2025-08-01 21:55:00+00:00,50,CRJ-200,Express,-7,36,29,18,54,1,0,2,1,41,2,0,0,0,0,0,0,46.0,28.0,-36,36,1.0,0.6086956521739131,6,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,54.0,51.0,2025-08-01,0.9679144385026738,0.6051693404634582,0.47771836007130125,0.9322638146167558,0.0,0.695187165775401,7.0,Difficult
UA,2200,2025-08-01,ORD,SEA,2025-08-01 21:16:00+00:00,2025-08-01 23:59:00+00:00,2025-08-01 21:34:00+00:00,2025-08-01 23:45:00+00:00,166,B737-MAX8,Mainline,63,64,51,21,214,4,0,11,3,105,6,0,0,0,0,0,0,102.0,78.0,12,-12,1.0,0.7647058823529411,24,0.11214953271028037,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-14.0,2025-08-01,0.8163992869875223,0.6051693404634582,0.7103386809269162,0.9393939393939394,0.0,0.6897504456327985,8.0,Difficult
YX,3604,2025-08-01,ORD,CMH,2025-08-01 19:35:00+00:00,2025-08-01 22:08:00+00:00,2025-08-01 21:59:00+00:00,2025-08-02 00:28:00+00:00,76,ERJ-175,Express,49,75,39,19,92,0,0,5,2,50,1,0,0,0,0,0,0,42.0,33.0,10,-10,1.0,0.7857142857142857,8,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,144.0,140.0,2025-08-01,0.8716577540106952,0.6051693404634582,0.7406417112299465,0.768270944741533,0.0,0.6894830659536542,9.0,Difficult
UA,2487,2025-08-01,ORD,PHL,2025-08-01 21:23:00+00:00,2025-08-02 00:30:00+00:00,2025-08-01 21:48:00+00:00,2025-08-02 00:44:00+00:00,179,B737-MAX9,Mainline,63,67,56,21,200,0,0,12,3,120,1,0,0,0,0,0,0,108.0,80.0,7,-7,1.0,0.7407407407407407,16,0.08,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,2025-08-01,0.9099821746880571,0.6051693404634582,0.6836007130124777,0.6862745098039216,0.0,0.6791889483065953,10.0,Difficult
